RecordNumber,Zipcode,ZipCodeType,City
1,704,STANDARD,PARC PARQUE
2,704,STANDARD,PASEO COSTA DEL SUR
10,709,STANDARD,BDA SAN LUIS
61391,76166,UNIQUE,CINGULAR WIRELESS
61392,76177,STANDARD,FORT WORTH
61393,76177,STANDARD,FT WORTH
4,704,STANDARD,URB EUGENE RICE
39827,85209,STANDARD,MESA
39828,85210,STANDARD,MESA
49345,32046,STANDARD,HILLIARD
49346,34445,PO BOX,HOLDER
49347,32564,STANDARD,HOLT
49348,34487,PO BOX,HOMOSASSA
10,708,STANDARD,BDA SAN LUIS
3,704,STANDARD,SECT LANAUSSE
54354,36275,PO BOX,SPRING GARDEN
54355,35146,STANDARD,SPRINGVILLE
54356,35585,STANDARD,SPRUCE PINE
76511,27007,STANDARD,ASH HILL
76512,27203,STANDARD,ASHEBORO
76513,27204,PO BOX,ASHEBORO
